code,topic,difficulty,text
ED_2_0001,Электронный дом,Базовый,Где можно ознакомиться с информацией по установке шлагбаума?
ED_2_0002,Электронный дом,Рабочий,"Хотим поставить шлагбаум, где посмотреть, как это сделать? "
ED_2_0003,Электронный дом,Сложный,Где находится информация по установке шлагбаума? Дайте ссылку
ED_2_0004,Электронный дом,Рабочий,Какие возможности открывает проект?
ED_2_0005,Электронный дом,Базовый,Что такое Электронный дом?
ED_2_0006,Электронный дом,Рабочий,Что такое ЭД?
ED_2_0007,Электронный дом,Рабочий,Какие возможности открывает ЭД?
ED_2_0008,Электронный дом,Базовый,Какие возможности есть у Электронного дома?
ED_2_0009,Электронный дом,Сложный,"Какие функции доступны собственникам, какие жильцам?"
ED_2_0010,Электронный дом,Сложный,Какой функционал мне доступен?
ED_2_0011,Электронный дом,Базовый,Что я могу делать в Электронном доме?
ED_2_0012,Электронный дом,Рабочий,Где получить код плательщика?
ED_2_0013,Электронный дом,Базовый,У кого получить код плательщика? 
ED_2_0014,Электронный дом,Сложный,Хочу изменить размер фото в профиле
ED_2_0015,Электронный дом,Рабочий,"Все ли адреса, указанные в профиле на mos.ru, отображаются в ""Электронном доме""?"